[Sheet: LOAN ANALYSIS]

 Unnamed: 0 LOAN ANALYSIS WORKSHEET  Unnamed: 2    Unnamed: 3  Unnamed: 4      Unnamed: 5  Unnamed: 6  Unnamed: 7   Unnamed: 8  Unnamed: 9  Unnamed: 10                                                      Unnamed: 11
        NaN           LOAN ANALYSIS         NaN           NaN         NaN             NaN         NaN         NaN          NaN         NaN          NaN Rate slicer to filter table data based on Rates is in this cell.
        NaN           INTEREST RATE         NaN          0.05         NaN MONTHLY PAYMENT         NaN         NaN   106.065515         NaN          NaN                                                              NaN
        NaN           YEARS OF LOAN         NaN            10         NaN   TOTAL PAYMENT         NaN         NaN 12727.861829         NaN          NaN                                                              NaN
        NaN             LOAN AMOUNT         NaN         10000         NaN  TOTAL INTEREST         NaN         NaN  2727.861829         NaN          NaN                                                              NaN
        NaN            PAYMENTS DUE         NaN End of Period         NaN             NaN         NaN         NaN          NaN         NaN          NaN                                                              NaN
        NaN                     NaN       YEARS           NaN         NaN             NaN         NaN         NaN          NaN         NaN          NaN                                                              NaN
        NaN                  0.0525  300.832705    189.859838  107.291701       93.748155   80.387772   67.384417    59.924772   55.220370          NaN                                                              NaN
        NaN                   0.055  301.959018    191.011622  108.526278       95.017217   81.708345   68.788731    61.408749   56.778900          NaN                                                              NaN
        NaN                  0.0575  303.087908    192.167682  109.769220       96.296187   83.041009   70.208351    62.910640   58.357286          NaN                                                              NaN
        NaN                    0.06  304.219375    193.328015  111.020502       97.585021   84.385683   71.643106    64.430140   59.955053          NaN                                                              NaN
        NaN                  0.0625  305.353415    194.492617  112.280097       98.883677   85.742287   73.092820    65.966938   61.571720          NaN                                                              NaN
        NaN                   0.065  306.490029    195.661482  113.547977      100.192109   87.110737   74.557314    67.520716   63.206802          NaN                                                              NaN
        NaN                  0.0675  307.629214    196.834607  114.824114      101.510269   88.490946   76.036401    69.091153   64.859810          NaN                                                              NaN
        NaN                    0.07  308.770969    198.011985  116.108479       102.83811   89.882827   77.529894    70.677920   66.530250          NaN                                                              NaN
        NaN                  0.0725  309.915292    199.193614  117.401041      104.175581   91.286288   79.037598    72.280686   68.217628          NaN                                                              NaN
        NaN                   0.075  311.062182    200.379486  118.701769      105.522631   92.701236   80.559319    73.899118   69.921451          NaN                                                              NaN
        NaN                  0.0775  312.211636    201.569598  120.010631      106.879208   94.127575   82.094856    75.532876   71.641225          NaN                                                              NaN
        NaN                    0.08  313.363655    202.763943  121.327594      108.245258   95.565208   83.644007    77.181622   73.376457          NaN                                                              NaN
        NaN                  0.0825  314.518234    203.962517  122.652625      109.620727   97.014036   85.206565    78.845013   75.126660          NaN                                                              NaN
        NaN                   0.085  315.675374    205.165313  123.985689      111.005556   98.473956   86.782323    80.522708   76.891348          NaN                                                              NaN
        NaN                  0.0875  316.835072    206.372327  125.326750       112.39969   99.944865   88.371071    82.214364   78.670041          NaN                                                              NaN
        NaN                    0.09  317.997327    207.583552  126.675774       113.80307  101.426658   89.972596    83.919636   80.462262          NaN                                                              NaN
        NaN                  0.0925  319.162136    208.798983  128.032722      115.215634  102.919229   91.586683    85.638184   82.267543          NaN                                                              NaN
        NaN                   0.095  320.329497    210.018613  129.397558      116.637324  104.422468   93.213119    87.369666   84.085421          NaN                                                              NaN
        NaN                  0.0975   321.49941    211.242437  130.770242      118.068075  105.936266   94.851685    89.113742   85.915441          NaN                                                              NaN
        NaN                     0.1  322.671872    212.470447  132.150737      119.507826  107.460512   96.502165    90.870075   87.757157          NaN                                                              NaN
        NaN                  0.1025  323.846881    213.702638  133.539002      120.956512  108.995092   98.164339    92.638328   89.610130          NaN                                                              NaN
        NaN                   0.105  325.024435    214.939004  134.934997      122.414068  110.539892   99.837989    94.418171   91.473929          NaN                                                              NaN
        NaN                  0.1075  326.204532    216.179537  136.338680      123.880428  112.094798  101.522895    96.209272   93.348136          NaN                                                              NaN
        NaN                    0.11  327.387171    217.424231  137.750011      125.355526  113.659693  103.218839    98.011308   95.232340          NaN                                                              NaN
        NaN                  0.1125  328.572349    218.673079  139.168947      126.839292  115.234460  104.925601    99.823955   97.126139          NaN                                                              NaN
        NaN                   0.115  329.760064    219.926074  140.595444      128.331658  116.818981  106.642963   101.646896   99.029143          NaN                                                              NaN
        NaN                  0.1175  330.950315    221.183209  142.029459      129.832556  118.413136  108.370706   103.479819  100.940973          NaN                                                              NaN
        NaN                    0.12  332.143098    222.444477  143.470948      131.341914  120.016806  110.108613   105.322414  102.861260          NaN                                                              NaN
        NaN                  0.1225  333.338413     223.70987  144.919867      132.859662  121.629871  111.856468   107.174379  104.789643          NaN                                                              NaN
        NaN                   0.125  334.536256    224.979382  146.376169      134.385728  123.252208  113.614055   109.035414  106.725776          NaN                                                              NaN
        NaN                  0.1275  335.736626    226.253005  147.839809       135.92004  124.883698  115.381160   110.905227  108.669321          NaN                                                              NaN
        NaN                    0.13   336.93952     227.53073  149.310740      137.462524  126.524217  117.157571   112.783530  110.619952          NaN                                                              NaN
        NaN                  0.1325  338.144937    228.812552  150.788916      139.013108  128.173643  118.943077   114.670043  112.577352          NaN                                                              NaN
        NaN                   0.135  339.352873     230.09846  152.274289      140.571716  129.831854  120.737468   116.564488  114.541218          NaN                                                              NaN
        NaN                  0.1375  340.563328    231.388449  153.766812      142.138275  131.498727  122.540538   118.466597  116.511253          NaN                                                              NaN
        NaN                    0.14  341.776298    232.682508  155.266435      143.712708  133.174139  124.352081   120.376104  118.487175          NaN                                                              NaN
        NaN                  0.1425  342.991781    233.980632  156.773111      145.294942  134.857966  126.171894   122.292753  120.468709          NaN                                                              NaN
        NaN                   0.145  344.209774    235.282811  158.286789      146.884899  136.550086  127.999777   124.216292  122.455593          NaN                                                              NaN
        NaN                  0.1475  345.430277    236.589037  159.807422      148.482502  138.250376  129.835530   126.146474  124.447572          NaN                                                              NaN
        NaN                    0.15  346.653285    237.899301  161.334957      150.087677  139.958712  131.678958   128.083061  126.444402          NaN                                                              NaN
        NaN                  0.1525  347.878797    239.213595  162.869346      151.700344  141.674972  133.529868   130.025820  128.445850          NaN                                                              NaN
        NaN                   0.155   349.10681    240.531911  164.410537      153.320427  143.399034  135.388069   131.974524  130.451692          NaN                                                              NaN
        NaN                  0.1575  350.337322    241.854239  165.958479      154.947848  145.130775  137.253373   133.928951  132.461710          NaN                                                              NaN
        NaN                    0.16   351.57033    243.180571  167.513121       156.58253  146.870074  139.125594   135.888889  134.475700          NaN                                                              NaN
