[Sheet: Wedding budget]

|   Unnamed: 0 | Unnamed: 1                 | Unnamed: 2   | Unnamed: 3   | Unnamed: 4   |   Unnamed: 5 | Unnamed: 6                      | Unnamed: 7   | Unnamed: 8   | Unnamed: 9   |   Unnamed: 10 |   Unnamed: 11 | Unnamed: 12   | Unnamed: 13           | Unnamed: 14   | Unnamed: 15   | Unnamed: 16   | Unnamed: 17   |
|          nan | nan                        | nan          | nan          | nan          |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | nan                        | nan          | nan          | nan          |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | nan                        | nan          | nan          | nan          |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | APPAREL                    | ESTIMATED    | ACTUAL       | OVER/UNDER   |          nan | DECORATIONS                     | ESTIMATED    | ACTUAL       | OVER/UNDER   |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Engagement ring            | 5000         | 5000         | 0            |          nan | Bows for church pews            | 1800         | 1800         | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Wedding rings              | 0            | 0            | 0            |          nan | Table centerpieces              | 500          | 500          | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Tux, suit, and/or dresses  | 0            | 0            | 0            |          nan | Candles                         | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Veil/headpiece             | 0            | 0            | 0            |          nan | Lighting                        | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Shoes                      | 0            | 0            | 0            |          nan | Balloons                        | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Jewelry                    | 0            | 0            | 0            |          nan | Others                          | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Accessories                | 0            | 0            | 0            |          nan | Total for decorations           | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Others                     | 0            | 0            | 0            |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Total for apparel          | 0            | 0            | 0            |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | nan                        | nan          | nan          | nan          |          nan | FLOWERS                         | ESTIMATED    | ACTUAL       | OVER/UNDER   |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | nan                        | nan          | nan          | nan          |          nan | Bouquets                        | 800          | 800          | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | GIFTS                      | ESTIMATED    | ACTUAL       | OVER/UNDER   |          nan | Boutonnières                    | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Attendants                 | 1200         | 1100         | -100         |          nan | Corsages                        | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Parents                    | 200          | 200          | 0            |          nan | Ceremony                        | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Readers/other participants | 0            | 0            | 0            |          nan | Reception                       | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Others                     | 0            | 0            | 0            |          nan | Others                          | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Total for gifts            | 1400         | 1300         | -100         |          nan | Total for flowers               | 800          | 800          | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | nan                        | nan          | nan          | nan          |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | nan                        | nan          | nan          | nan          |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | MUSIC                      | ESTIMATED    | ACTUAL       | OVER/UNDER   |          nan | PHOTOGRAPHY                     | ESTIMATED    | ACTUAL       | OVER/UNDER   |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Musicians for ceremony     | 1200         | 1250         | 50           |          nan | Formals                         | 1200         | 1200         | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Band/DJ for reception      | 0            | 0            | 0            |          nan | Candid's                        | 800          | 800          | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Others                     | 0            | 0            | 0            |          nan | Extra prints                    | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Total for music            | 1200         | 1250         | 50           |          nan | Photo albums                    | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | nan                        | nan          | nan          | nan          |          nan | Videography                     | 950          | 950          | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | nan                        | nan          | nan          | nan          |          nan | Others                          | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | RECEPTION                  | ESTIMATED    | ACTUAL       | OVER/UNDER   |          nan | Total for photography           | 2950         | 2950         | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Room/hall fees             | 5500         | 5300         | -200         |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Tables and chairs          | 0            | 0            | 0            |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Food                       | 0            | 0            | 0            |          nan | STATIONERY / PRINTING           | ESTIMATED    | ACTUAL       | OVER/UNDER   |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Drinks                     | 0            | 0            | 0            |          nan | Invitations                     | 400          | 400          | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Linens                     | 0            | 0            | 0            |          nan | Announcements                   | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Cake                       | 0            | 0            | 0            |          nan | Thank-You cards                 | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Favors                     | 0            | 0            | 0            |          nan | Personal stationery             | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Staff and gratuities       | 0            | 0            | 0            |          nan | Guest book                      | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Others                     | 0            | 0            | 0            |          nan | Programs                        | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Total for reception        | 5500         | 5300         | -200         |          nan | Reception napkins               | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | nan                        | nan          | nan          | nan          |          nan | Matchbooks                      | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | nan                        | nan          | nan          | nan          |          nan | Calligraphy                     | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | OTHER EXPENSES             | ESTIMATED    | ACTUAL       | OVER/UNDER   |          nan | Others                          | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Officiant                  | 300          | 300          | 0            |          nan | Total for stationery / printing | 400          | 400          | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Church/ceremony site fee   | 0            | 0            | 0            |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Wedding coordinator        | 0            | 0            | 0            |          nan | nan                             | nan          | nan          | nan          |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Rehearsal dinner           | 0            | 0            | 0            |          nan | TRANSPORTATION                  | ESTIMATED    | ACTUAL       | OVER/UNDER   |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Engagement party           | 0            | 0            | 0            |          nan | Limousines/trolleys             | 900          | 900          | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Showers                    | 0            | 0            | 0            |          nan | Parking                         | 200          | 200          | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Bachelor/ette parties      | 0            | 0            | 0            |          nan | Taxis                           | 350          | 300          | -50          |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Hotel rooms                | 0            | 0            | 0            |          nan | Others                          | 0            | 0            | 0            |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
|          nan | Total for other expenses   | 300          | 300          | 0            |          nan | Total for transportation        | 1450         | 1400         | -50          |           nan |           nan | nan           | nan                   | nan           | nan           | nan           | nan           |
